GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openid-connect-core,net.trajano.openidconnect.rs,AuthenticationRequestUriProvider,32,0,8,0,6,0,10,0,6,0
openid-connect-core,net.trajano.openidconnect.rs,JsonWebKeySetProvider,2,145,1,7,1,26,2,9,1,6
openid-connect-core,net.trajano.openidconnect.rs,JsonWebKeyProvider,70,151,18,20,22,33,11,14,1,5
openid-connect-core,net.trajano.openidconnect.rs,IdTokenProvider,252,0,30,0,54,0,21,0,6,0
openid-connect-core,net.trajano.openidconnect.rs,AuthenticationRequestJsonProvider,32,0,8,0,6,0,10,0,6,0
openid-connect-core,net.trajano.openidconnect.rs,OpenIdConnect,11,0,0,0,2,0,2,0,2,0
openid-connect-core,net.trajano.openidconnect.rs,JsonWebTokenProvider,34,0,4,0,7,0,8,0,6,0
openid-connect-core,net.trajano.openidconnect.rs,JwtMediaType,10,0,0,0,2,0,2,0,2,0
openid-connect-core,net.trajano.openidconnect.core,SubjectIdentifierType,38,0,0,0,4,0,4,0,4,0
openid-connect-core,net.trajano.openidconnect.core,Scope,5,73,0,0,0,7,1,3,1,3
openid-connect-core,net.trajano.openidconnect.core,TokenEndPointAuthMethod,58,0,0,0,2,0,4,0,4,0
openid-connect-core,net.trajano.openidconnect.core,ErrorResponse,45,0,0,0,20,0,10,0,10,0
openid-connect-core,net.trajano.openidconnect.core,OpenIdConnectException,34,0,0,0,8,0,4,0,4,0
openid-connect-core,net.trajano.openidconnect.core,ErrorCode,208,0,0,0,20,0,4,0,4,0
openid-connect-core,net.trajano.openidconnect.core,RedirectedOpenIdProviderException,80,0,6,0,14,0,7,0,4,0
openid-connect-core,net.trajano.openidconnect.core,OpenIdProviderConfiguration,279,0,0,0,109,0,72,0,72,0
openid-connect-core,net.trajano.openidconnect.core,OpenIdConnectKey,3,0,0,0,2,0,1,0,1,0
openid-connect-core,net.trajano.openidconnect.auth,ResponseType,5,53,0,0,0,2,1,3,1,3
openid-connect-core,net.trajano.openidconnect.auth,AuthenticationRequest.Builder,142,0,8,0,29,0,14,0,10,0
openid-connect-core,net.trajano.openidconnect.auth,Display,58,0,0,0,5,0,4,0,4,0
openid-connect-core,net.trajano.openidconnect.auth,Prompt,9,49,0,0,0,5,2,2,2,2
openid-connect-core,net.trajano.openidconnect.auth,AuthenticationRequest,563,400,88,50,107,76,84,17,23,9
openid-connect-core,net.trajano.openidconnect.auth,AuthenticationResponse,51,0,0,0,21,0,14,0,14,0
openid-connect-core,net.trajano.openidconnect.auth,ResponseMode,9,39,0,0,0,3,2,2,2,2
openid-connect-core,net.trajano.openidconnect.auth,AuthenticationRequestValidator,3,0,0,0,1,0,1,0,1,0
openid-connect-core,net.trajano.openidconnect.userinfo,Userinfo,158,3,2,0,64,1,42,1,41,1
openid-connect-core,net.trajano.openidconnect.token,IdTokenResponse,55,0,2,0,13,0,7,0,6,0
openid-connect-core,net.trajano.openidconnect.token,TokenRequestParam,3,0,0,0,1,0,1,0,1,0
openid-connect-core,net.trajano.openidconnect.token,IdTokenValidator,3,0,0,0,1,0,1,0,1,0
openid-connect-core,net.trajano.openidconnect.token,InvalidClientException,77,0,4,0,16,0,6,0,4,0
openid-connect-core,net.trajano.openidconnect.token,GrantType,48,0,0,0,2,0,4,0,4,0
openid-connect-core,net.trajano.openidconnect.token,IdToken,98,22,2,0,34,6,24,4,23,4
openid-connect-core,net.trajano.openidconnect.token,TokenResponse,101,0,4,0,29,0,15,0,13,0
openid-connect-core,net.trajano.openidconnect.crypto,EcWebKey,128,0,4,0,30,0,14,0,12,0
openid-connect-core,net.trajano.openidconnect.crypto,JsonWebAlgorithm,92,372,11,5,19,79,9,17,2,16
openid-connect-core,net.trajano.openidconnect.crypto,JsonWebTokenProcessor,68,166,17,19,14,39,14,13,1,8
openid-connect-core,net.trajano.openidconnect.crypto,JsonWebToken,7,146,0,4,1,31,1,12,1,10
openid-connect-core,net.trajano.openidconnect.crypto,JsonWebTokenBuilder,59,150,2,12,13,37,5,15,3,10
openid-connect-core,net.trajano.openidconnect.crypto,NamedEllipticCurve,15,189,3,3,0,21,5,4,2,4
openid-connect-core,net.trajano.openidconnect.crypto,JsonWebKey,2,62,0,0,1,19,1,10,1,10
openid-connect-core,net.trajano.openidconnect.crypto,OctWebKey,7,42,0,0,3,14,2,5,2,5
openid-connect-core,net.trajano.openidconnect.crypto,RsaWebKey,54,209,1,5,13,57,9,16,8,14
openid-connect-core,net.trajano.openidconnect.crypto,JoseHeader,59,64,0,0,25,23,17,13,17,13
openid-connect-core,net.trajano.openidconnect.crypto,KeyUse,0,38,0,0,0,3,0,4,0,4
openid-connect-core,net.trajano.openidconnect.crypto,JsonWebKeySet,17,46,3,1,2,9,4,4,2,4
openid-connect-core,net.trajano.openidconnect.crypto,Encoding,38,488,7,35,8,72,10,25,3,11
openid-connect-core,net.trajano.openidconnect.crypto,KeyType,0,48,0,0,0,4,0,4,0,4
openid-connect-core,net.trajano.openidconnect.internal,JcaJsonWebTokenCrypto,161,648,10,20,39,153,9,20,0,14
openid-connect-core,net.trajano.openidconnect.internal,Util,444,292,68,38,89,55,55,16,12,6
openid-connect-core,net.trajano.openidconnect.internal,CharSets,3,11,0,0,1,3,1,1,1,1
openid-connect-core,net.trajano.openidconnect.internal,Log,9,16,0,0,3,5,3,2,3,2
