GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal,NullX509TrustManager,13,0,0,0,5,0,5,0,5,0
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal,Initializer,158,0,0,0,22,0,4,0,4,0
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal,ValidateContext,115,301,13,11,21,64,17,23,7,21
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal,OpenIdConnectModuleConfig,102,0,10,0,27,0,14,0,9,0
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal,NullHostnameVerifier,10,0,0,0,3,0,3,0,3,0
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal,ValidateRequestProcessors,25,89,4,4,4,9,3,6,1,4
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal,CipherUtil,75,130,12,6,6,25,9,6,1,5
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal,Utils,125,44,17,9,13,9,16,3,4,2
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal,Log,18,32,2,2,6,10,5,4,3,4
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal,TokenCookie,45,157,2,6,9,30,6,10,5,7
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal.processors,PostLogoutCallbackRequestProcessor,12,12,4,2,2,2,4,2,1,2
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal.processors,SecurityAssertionPassedRequestProcessor,13,14,7,3,3,4,6,2,1,2
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal.processors,LogoutGotoRequestProcessor,22,9,7,1,3,3,5,2,1,2
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal.processors,CallbackRequestProcessor,151,310,11,13,18,42,10,10,0,8
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal.processors,SecurityAssertionFailureRequestProcessor,23,8,7,1,2,2,5,2,1,2
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal.processors,LogoutRequestProcessor,141,23,10,4,22,4,8,3,1,3
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal.processors,IdTokenRequestProcessor,26,8,7,1,4,3,5,2,1,2
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic.internal.processors,UserInfoRequestProcessor,26,8,7,1,4,3,5,2,1,2
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic,OpenIdConnectAuthModule,938,433,76,22,148,89,55,16,10,12
openid-connect-jaspic-module,net.trajano.openidconnect.jaspic,OpenIdConnectModuleConfigProvider,21,0,0,0,7,0,4,0,4,0
