GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openid-connect-provider,net.trajano.openidconnect.provider.spi,Consent,130,0,24,0,32,0,17,0,5,0
openid-connect-provider,net.trajano.openidconnect.provider.internal,ProviderV1,41,0,0,0,11,0,2,0,2,0
openid-connect-provider,net.trajano.openidconnect.provider.internal,AuthorizationUtil,109,0,16,0,23,0,12,0,4,0
openid-connect-provider,net.trajano.openidconnect.provider.internal,ClientCredentials,15,0,0,0,6,0,3,0,3,0
openid-connect-provider,net.trajano.openidconnect.provider.internal,FormPostBuilder,6,87,0,2,2,18,0,5,0,4
openid-connect-provider,net.trajano.openidconnect.provider.internal,AuthenticationResponseConverter,160,0,16,0,27,0,12,0,4,0
openid-connect-provider,net.trajano.openidconnect.provider.internal,ProviderWellKnown,3,0,0,0,1,0,1,0,1,0
openid-connect-provider,net.trajano.openidconnect.provider.internal,CacheConstants,14,0,0,0,5,0,2,0,2,0
openid-connect-provider,net.trajano.openidconnect.provider.ejb,DefaultAuthenticationResponseProvider,288,0,22,0,79,0,22,0,11,0
openid-connect-provider,net.trajano.openidconnect.provider.ejb,DefaultTokenProvider,368,0,24,0,84,0,21,0,9,0
openid-connect-provider,net.trajano.openidconnect.provider.ejb,DefaultKeyProvider,9,116,0,2,3,31,1,6,1,5
openid-connect-provider,net.trajano.openidconnect.provider.endpoints,TokenEndpoint,74,0,8,0,20,0,7,0,3,0
openid-connect-provider,net.trajano.openidconnect.provider.endpoints,WellKnownOpenIdConfiguration,380,0,2,0,64,0,6,0,5,0
openid-connect-provider,net.trajano.openidconnect.provider.endpoints,AuthorizationEndpoint,183,0,20,0,35,0,16,0,6,0
openid-connect-provider,net.trajano.openidconnect.provider.endpoints,EndSessionEndpoint,207,0,24,0,45,0,16,0,4,0
openid-connect-provider,net.trajano.openidconnect.provider.endpoints,Jwks,29,0,0,0,7,0,3,0,3,0
openid-connect-provider,net.trajano.openidconnect.provider.endpoints,UserinfoEndpoint,209,0,46,0,60,0,28,0,5,0
